idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.13584116745360594,1257.0,50,0,3,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.4419771027327824,257.0,0,0,18,4
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.12829081999590813,264.0,0,0,3,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.7102071004264471,576.0,50,46,21,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.0643945863851247,1188.0,50,9,5,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.052075345670293566,1574.0,50,2,4,15
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.48227698421599446,934.0,50,0,11,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.34691411061001015,764.0,50,45,21,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.2537808270734908,442.0,0,0,7,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.21538542678680506,313.0,0,0,10,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.44213602388788936,609.0,0,0,10,7
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.4073180065320916,206.0,0,0,15,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.44839740351677415,549.0,0,0,10,6
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.4411254629280346,239.0,0,0,16,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.39521595002452325,586.0,0,0,7,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.45318568325573777,243.0,0,0,16,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.2877706775545587,412.0,0,0,7,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.12838182958390326,259.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.34631419349538733,245.0,0,0,12,3
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.34055219661682196,368.0,0,0,8,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.3216965032089996,346.0,0,0,13,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.13215075501004372,303.0,0,0,4,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.2508708135433282,348.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.2557438613376282,261.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.36966745695816794,246.0,0,0,10,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.6038676352593366,292.0,0,0,15,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.13402712296491534,449.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.37592773255922013,306.0,0,0,8,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.36122863860192905,216.0,0,0,11,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.19188054739205257,305.0,0,0,4,3
