idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.468859533164009,0.0,0.28018427050630473,0.1948594349858294,66.0,0,0,12,1
1,idealist,0.5460633975664924,0.1,0.31573501757295597,0.5670395502855885,318.0,0,0,14,4
2,skeptic,0.36964959402583336,-0.12,0.5542392582364227,0.1001897791850623,140.0,0,0,4,1
3,conformist,0.6456000067695206,0.0,0.2920621444693863,0.28315114853083323,250.0,0,0,17,3
4,strategist,0.3444397146289511,-0.05,0.11018677934309212,0.20217026050565406,704.0,50,46,9,8
5,opportunist,0.3565088306193972,-0.15,0.40619889690208655,0.10213123913090714,471.0,0,0,5,4
6,pragmatist,0.10124538380417487,0.0,0.26718125041011814,0.003496245502350689,167.0,0,0,1,2
7,idealist,0.26311335791204027,0.1,0.19015989679448225,0.4231224959313935,315.0,0,0,7,3
8,skeptic,0.3683611525714035,-0.12,0.45255497654462684,0.19959780247556408,225.0,0,0,2,2
9,conformist,0.5117445804561199,0.0,0.30637700541640167,0.3422700997603204,573.0,0,0,11,6
10,strategist,0.43071980055839487,-0.05,0.5049695205824528,0.06508861016170828,385.0,0,0,9,4
11,opportunist,0.350220798977008,-0.15,0.45272651051395296,0.08241671024830013,220.0,0,0,4,2
12,pragmatist,0.5855205272477713,0.0,0.31410184466413116,0.6153897395381107,443.0,0,0,19,6
13,idealist,0.33847511259692875,0.1,0.1617411935612371,0.6299801757472008,741.0,50,50,13,8
14,skeptic,0.3813411261498991,-0.12,0.5330292685205074,0.12228737269517613,395.0,0,0,6,4
15,conformist,0.2985572724691896,0.0,0.11862366376924302,0.3268259732059691,452.0,0,0,7,5
16,strategist,0.42611624851282837,-0.05,0.38112683770287115,0.2605678807674497,210.0,0,0,5,2
17,opportunist,0.48219886837595116,-0.15,0.4533059063559882,0.3178980404227509,428.0,0,0,6,5
18,pragmatist,0.3519257085872491,0.0,0.2805579549460846,0.3290096340663581,562.0,0,0,3,5
19,idealist,0.5675963205091994,0.1,0.5240146717831141,0.6073769282400425,277.0,0,0,21,4
20,skeptic,0.261140170184382,-0.12,0.7270885662108595,0.09629173277722261,281.0,0,0,4,3
21,conformist,0.6518813135673457,0.0,0.2671967101050641,0.43368536023764115,563.0,50,49,23,8
22,strategist,0.48966834454939556,-0.05,0.2529115778195358,0.0860670331431522,560.0,50,47,9,6
23,opportunist,0.6687031025305438,-0.15,0.6940387474674947,0.3075802299851565,551.0,50,0,10,6
24,pragmatist,0.7202452304799187,0.0,0.4972655647101555,0.5168806521569458,383.0,0,0,15,5
25,idealist,0.5036070615988434,0.1,0.11875220515767426,0.5751177982495508,450.0,0,0,5,4
26,skeptic,0.44933188003198754,-0.12,0.5984712402614504,0.0952930824789588,172.0,0,0,3,2
27,conformist,0.25674578043756685,0.0,0.20926830902730123,0.037257655021556424,431.0,0,0,5,5
28,strategist,0.5144795542233345,-0.05,0.4044064085944303,0.08743852878380953,325.0,0,0,7,4
29,opportunist,0.2723823049864217,-0.15,0.3007446141941448,0.0027192445170415203,709.0,50,13,3,6
