idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.35223132710824656,0.0,0.2737924061511334,0.21311731024991779,1121.0,50,37,14,13
1,idealist,0.6995585987086795,0.1,0.39887216247483825,0.7431834370758006,585.0,50,50,27,10
2,skeptic,0.203790405812303,-0.12,0.4992195103742102,0.11220514027897145,122.0,0,0,4,1
3,conformist,0.356480438851741,0.0,0.17229472848780394,0.32856877788079036,999.0,50,49,17,12
4,strategist,0.20877183237204167,-0.05,0.3362657815315277,0.1148765522672013,1013.0,50,46,4,10
5,opportunist,0.48530713781061824,-0.15,0.6363439047147194,0.1981644288309423,964.0,50,0,8,10
6,pragmatist,0.49749675247078534,0.0,0.37658199925464625,0.1945865382653159,541.0,0,0,6,5
7,idealist,0.22603249725536514,0.1,0.6379093687086042,0.2952517263887179,321.0,0,0,13,4
8,skeptic,0.16265316630625495,-0.12,0.6652702783733726,0.005854204282030618,560.0,0,0,1,5
9,conformist,0.40051438891892255,0.0,0.017903022310830463,0.4847297482749357,869.0,50,48,17,11
10,strategist,0.35155724836064534,-0.05,0.19919779790120162,0.07215755916189771,726.0,0,0,3,7
11,opportunist,0.5070283638373487,-0.15,0.38349119570829227,0.3547566271054592,502.0,0,0,5,5
12,pragmatist,0.6723856744550786,0.0,0.025559396483197383,0.3727236268990008,464.0,0,0,9,5
13,idealist,0.44953785530012236,0.1,0.16619163175176133,0.5909626285231846,479.0,0,0,8,5
14,skeptic,0.5663807771187089,-0.12,0.2,0.35583476860886487,792.0,0,0,7,7
15,conformist,0.39844584748507783,0.0,0.18152593910041528,0.18680789284996166,490.0,0,0,7,5
16,strategist,0.22735971240054734,-0.05,0.44778233742872814,0.028211923076582036,295.0,0,0,4,4
17,opportunist,0.47680701436775946,-0.15,0.5510285156060626,0.36284590202299083,477.0,0,0,5,4
18,pragmatist,0.5938777288011766,0.0,0.15302181504379847,0.40586037172067946,355.0,0,0,9,3
19,idealist,0.3303306363165693,0.1,0.2695001271342146,0.24386629259038234,338.0,0,0,9,3
20,skeptic,0.5621939588944702,-0.12,0.6276450936463314,0.29152162826565925,351.0,0,0,12,4
21,conformist,0.3435472693936973,0.0,0.058920422211700296,0.12623989150536744,458.0,0,0,7,5
22,strategist,0.3303265627250207,-0.05,0.21236426562639793,0.08163533841305798,307.0,0,0,4,3
23,opportunist,0.4143114933652911,-0.15,0.3802277428464603,0.24960734726295844,287.0,0,0,7,3
24,pragmatist,0.7587171702746567,0.0,0.2240394510320355,0.7326894390264378,249.0,0,0,22,3
25,idealist,0.4066913449456167,0.1,0.36878665936410415,0.359839444116872,256.0,0,0,12,3
26,skeptic,0.3070388901645112,-0.12,0.4447059276316385,0.07383349856464942,344.0,0,0,6,3
27,conformist,0.451997772174152,0.0,0.2661218920525896,0.3967816700901995,255.0,0,0,10,3
28,strategist,0.25259777118798654,-0.05,0.5057204185930535,0.08693146949646098,290.0,0,0,5,3
29,opportunist,0.3971313951147594,-0.15,0.4254124631655437,0.11732957285117784,216.0,0,0,8,3
