idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.49570756196316473,0.0,0.14400238406392565,0.19877741315489564,1211.0,50,0,5,12
1,idealist,0.5625676793709686,0.1,0.44108470745868206,0.4419771027327824,270.0,0,0,18,4
2,skeptic,0.15734472170192457,-0.12,0.3046730739706523,0.12829081999590813,263.0,0,0,3,3
3,conformist,0.4691760604750928,0.0,0.10256361114846266,0.5139781564249962,611.0,50,24,18,8
4,strategist,0.4474798263743567,-0.05,0.172043410863963,0.021153984014389747,1227.0,50,2,4,13
5,opportunist,0.5819096962294243,-0.15,0.5166687903143422,0.15816731286991764,1539.0,50,0,5,15
6,pragmatist,0.4599046046341824,0.0,0.4690861810452049,0.5577213537213854,947.0,50,0,12,11
7,idealist,0.5201264013378069,0.1,0.17110613056751425,0.34691411061001015,774.0,50,41,21,11
8,skeptic,0.5053126176123748,-0.12,0.35616760987565016,0.27706920812446234,447.0,0,0,7,5
9,conformist,0.5817675451960909,0.0,0.14251111335206204,0.21158166427326056,319.0,0,0,9,4
10,strategist,0.4222706454682109,-0.05,0.1978605683394088,0.44213602388788936,613.0,0,0,9,7
11,opportunist,0.6333812008011045,-0.15,0.3768205776896797,0.4073180065320916,207.0,0,0,16,3
12,pragmatist,0.38575082667553395,0.0,0.24717996742676554,0.44839740351677415,546.0,0,0,11,6
13,idealist,0.5298463778330024,0.1,0.35481660965461176,0.4411254629280346,232.0,0,0,16,3
14,skeptic,0.5119098917393983,-0.12,0.5646231504511824,0.27521595002452326,580.0,0,0,7,6
15,conformist,0.7712471401305692,0.0,0.08903774754230767,0.45374473689167416,246.0,0,0,16,3
16,strategist,0.3731635906392694,-0.05,0.17793409076281833,0.2877706775545587,399.0,0,0,7,5
17,opportunist,0.5423969133863243,-0.15,0.5693458439081337,0.12838182958390326,263.0,0,0,13,3
18,pragmatist,0.4329078813517688,0.0,0.17397652845562078,0.34631419349538733,245.0,0,0,13,3
19,idealist,0.3263278176463141,0.1,0.3975889181737052,0.34055219661682196,352.0,0,0,8,3
20,skeptic,0.5614881256805163,-0.12,0.5814731402457792,0.333413179667307,347.0,0,0,13,4
21,conformist,0.35017354390669586,0.0,0.18482419846000794,0.13215075501004372,304.0,0,0,4,3
22,strategist,0.46750287137110924,-0.05,0.33280328950935195,0.2508708135433282,348.0,0,0,10,4
23,opportunist,0.5807143166922285,-0.15,0.43353933231620234,0.2557438613376282,269.0,0,0,9,3
24,pragmatist,0.5518370344607842,0.0,0.3101368604233337,0.37122196187184026,250.0,0,0,9,3
25,idealist,0.49336790980349765,0.1,0.39469323387578104,0.6038676352593366,294.0,0,0,16,4
26,skeptic,0.23142662702165004,-0.12,0.4520493175464048,0.13402712296491534,438.0,0,0,3,4
27,conformist,0.3794441018560807,0.0,0.0541683227634987,0.37592773255922013,289.0,0,0,9,3
28,strategist,0.40872866231599747,-0.05,0.5242411966851593,0.26234400521118545,224.0,0,0,10,3
29,opportunist,0.3201253326460135,-0.15,0.5452417531887221,0.19188054739205257,281.0,0,0,4,3
